Paleon testate calibration dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Revised, 25 March 2017 (went back to count data, made a few taxonomic corrections and deleted samples with less than 50 counts)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All samples with greater than 50 individuals counted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE,STUDY,Peatland,Peatland type,Location (lat/long: dec),,,,WTD (cm),pH,TOTAL COUNT,ampfla,ampwri,arcart,arccat,arccre,arcdis,arcgib,archem,arcvul,assmus,asssem,bulind,cenacu,cencas,ceneco,cenpla,cortri,cryovi,crysac,cycarc,cyckah,cypamp,difacu,difbaf,difbac,difglo,diflei,difluc,difobl,difovi,difpri,difpul,difrub,difurc,eugcri,eugrot,eugstr,eugtub,helpet,helros,helsph,helsyl,hyaele,hyamin,hyapap,hyasub,lesspp,nebbar,nebcar,nebcol,nebfla,nebgal,nebgri,nebmar,nebmil,nebpen,nebret/lon,nebtin,nebtub,nebvit,nebwai,parirr,phracr,plalen,plaspi,placal,pontsp,psefas,pseful,quasym,sphlen,traden,triarc,trimin
BL11,Booth 2008,Bloomingdale Bog,Raised bog,44,22.966,-74,8.29,35,3.6,144,0,0,0,0,0,0,0,0,0,45,13,2,2,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,26,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2
BL12,Booth 2008,Bloomingdale Bog,Raised bog,44,22.966,-74,8.29,20,3.57,181,1,0,0,0,0,0,0,0,0,11,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,125,0,12,1,0,0,0,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
BL13,Booth 2008,Bloomingdale Bog,Raised bog,44,22.974,-74,8.351,37,3.69,189,0,0,0,0,0,0,0,0,0,86,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0
BL14,Booth 2008,Bloomingdale Bog,Raised bog,44,22.974,-74,8.351,7,3.7,101,0,0,0,0,0,0,0,0,0,22,2,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,0,0,25,0,0,0,17,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
BL15,Booth 2008,Bloomingdale Bog,Raised bog,44,22.969,-74,8.409,14,3.59,125,0,0,0,0,0,0,0,0,0,69,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,28,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
BL16,Booth 2008,Bloomingdale Bog,Raised bog,44,22.969,-74,8.416,37.5,3.7,175,0,0,0,0,0,0,0,0,0,90,7,3,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,6
BL17,Booth 2008,Bloomingdale Bog,Raised bog,44,22.969,-74,8.422,22,3.71,160,0,0,0,0,0,0,0,0,0,76,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1
BL18,Booth 2008,Bloomingdale Bog,Raised bog,44,22.97,-74,8.427,40,3.61,192,0,0,0,0,0,0,0,0,0,60,5,1,8,8,0,0,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30,3
BL19,Booth 2008,Bloomingdale Bog,Raised bog,44,22.971,-74,8.436,48,3.55,115,0,0,0,0,0,0,0,0,0,50,3,0,12,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,7
EL03,Booth 2008,Ely Bog,Raised bog,47,26.763,-92,26.203,3.5,3.91,163,15,0,1,0,0,0,0,0,0,30,3,1,0,1,1,1,3,0,0,0,0,0,0,0,9,4,5,2,0,0,0,0,0,0,0,0,4,13,0,1,5,0,18,0,2,0,0,0,0,7,0,0,3,0,6,0,0,15,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0
