"","Observation","Age","MVGP","Bummer","WA","WAPLS","MLRC","MAT","RF"
"57",57,1328,15.1636546892669,18.9899158897898,19.0597688196919,12.9228045537676,17.1167867479102,20.4975299995951,13.8509183166325
"58",58,1358,13.2991498881897,9.92787622922126,17.3594584701748,14.2167258189719,13.4356156356263,15.2690122282037,9.69765948623814
"59",59,1388,11.2188697250012,17.0716052702601,20.4886555740753,6.70157273212087,5.20910623721419,21.6657460839853,8.94751811227941
"60",60,1417,15.9815590932821,14.5413644081357,13.1439948385485,10.1858687119735,10.0166643086585,15.5259647559071,14.4732458333763
"61",61,1446,7.53415365992522,12.0691228839348,23.9834504816308,11.0452156117046,19.5548972832473,5.35170003600405,12.9842857864983
"62",62,1476,13.3679898125761,9.55091002445435,8.87892464636882,10.5504850604081,11.329223819152,15.4360709328254,14.5118937563104
"63",63,1505,21.1031453876649,15.7245185729965,9.50672114076863,18.0081528729139,17.6936365454712,24.1212977869944,22.1621164145745
"64",64,1534,12.4607642901138,13.8069940744437,9.68048792141517,12.3156105176483,16.6324416494006,15.3271280404471,13.9711110673903
"65",65,1564,22.5509872375081,11.0434043581804,15.1988133923855,10.9355095509519,13.833891317384,19.6019190488281,8.61248354070495
"66",66,1621,9.84724155628699,12.4959227704168,16.9874026774011,26.7667732950725,13.135407225565,11.2045044706413,19.2034331353836
"67",67,1655,13.8866774156039,11.6497231962267,21.4144288005038,28.1926007276276,18.3477956909125,20.7387463968811,32.5272412103724
"68",68,1683,27.9816844715481,6.70053325341804,19.9700542592558,18.1744391890085,17.2624303144021,6.19210239785246,15.9259199027015
"69",69,1709,16.8494833137426,20.9202280241811,11.9240141969376,15.6051502514658,19.9713174865849,19.4792636343669,6.50033340012167
"70",70,1735,12.5050535229453,21.4675901686985,18.8358433248765,13.2717486056177,8.20836096258095,17.706509058797,15.8703484337602
"71",71,1760,24.2711933501382,16.48972766337,20.0895210405514,20.5692772163268,17.7217887608773,22.845107464475,15.2015153033124
"72",72,1786,18.2247738814195,16.9096046537873,12.1655534493288,7.07636913220505,8.33434632725537,4.10453577039553,13.8947954162304
"73",73,1811,13.1690648131529,16.6218804465234,16.1923374252432,10.2742211297674,21.562853726233,22.0161250144754,15.1757659303982
"74",74,1836,9.67150361111953,10.6934657059959,20.1266410495939,20.6257530325161,10.046810678322,10.4230524629378,10.4772783238947
"75",75,1863,18.5344857243268,15.0667597842184,15.5769494313025,9.05729953569282,16.4281033302371,17.9343009779322,23.2231986766428
"76",76,1888.5,25.8677908100914,10.2835807783231,15.0473809783638,22.8693855750802,10.4876039772087,11.7274634079773,22.5728321355805
"77",77,1915,19.342507117918,10.2030665378702,17.0245527699947,12.3277662826388,23.7964929140205,16.9216641153204,16.4450863210896
"78",78,1941,12.0243036492529,24.0114058094579,14.8075983074561,19.4310714036434,15.5792358401812,9.21218482590506,12.7138367954684
"79",79,1966.5,11.3569758657939,10.2598698768893,8.26293309404191,20.8498076754434,16.6213424380901,9.80504864505491,14.5335373841459
"80",80,1992,10.9892848197341,12.0325924269903,18.7204470693489,15.3297680112085,13.6759395039713,18.4670713962215,9.80824463167687
"81",81,2018,16.9136256148891,20.3159935853338,13.6219229347935,15.1867564971955,14.9375607463551,13.9646526445504,14.7131135602029
"82",82,2044,19.1784449978029,19.7304375205654,13.3234912250085,18.4484350727833,9.78572741621267,14.4714955923629,20.5802179369515
"83",83,2069,21.3725200846183,14.6326106630205,13.1201822501007,13.2270361123003,21.0928044845925,17.3655435552427,15.3309604478654
"84",84,2100,17.8173720668804,11.7887179468727,17.6245691654706,16.4761160425367,18.639153010351,13.6681770358111,7.19830979070487
"85",85,2127,9.78570013301506,22.3073727559902,13.275273644128,13.9617248428141,10.2070695237919,11.4158144176038,19.859045148015
"86",86,2148,32.6354023163489,14.9283672514679,21.4897123702683,14.46120340383,12.7319520515642,14.9585165989363,18.7443836845268
"87",87,2169,17.9956552598021,11.2868682151847,11.8685098641601,17.8054286171095,8.7557421021837,27.8364261635701,25.0805743729123
"88",88,2190,12.1809426912449,13.6365107881251,17.2663390056823,20.9186887554584,12.3017807281623,14.4545358262857,11.8957954134845
"89",89,2213,13.3954757727144,17.5713558643344,15.6852366519993,10.8057110035209,16.3759493003875,17.7126693531368,15.4066689827549
"90",90,2235,11.4556619165151,16.5293223097178,10.5887956325249,21.4712803465321,18.7690867075479,9.06951990687973,17.4123848906083
"91",91,2257,13.0496273475825,14.7027715432013,16.0517700199374,11.2056987735651,13.0959914059889,21.9918415099076,16.8634745051832
"92",92,2278,16.0490510772533,9.61300883158193,10.2234688511246,13.8271679818834,9.75193162846596,9.5194743913294,13.6364207149567
"93",93,2300,4.45294724280964,17.9426858811016,7.48318961252491,6.84542278063975,10.9512445132215,10.4113430184636,13.1345432066331
"94",94,2322,13.7507794735057,11.495733783871,10.9772779558016,15.896177129221,15.8248052925608,20.1869394797693,21.8496572049346
"95",95,2343,16.1421105476044,27.2842888981884,17.6355971241355,30.2033726759329,10.3350562074357,10.7402937438612,19.2426724769015
"96",96,2364,26.4412607135403,17.5995736948134,24.6230678450544,17.437225967779,23.2642106900171,21.2721723005047,22.4731349284841
"97",97,2388,20.027787822543,12.2007813243886,17.4341414474174,22.6365481619734,9.48581417708427,5.57785211964741,18.613857580958
"98",98,2413,19.7338504449608,17.1107677983667,23.5616111928766,12.772832891003,15.9003133165731,16.1733042950356,13.0175484782915
"99",99,2435,12.9560365911417,15.6630021298893,13.242285683624,5.77656288747064,13.3212909114407,15.8098298380036,12.8174624037064
"100",100,2451,4.08653091951232,12.514588934908,5.36358238573265,20.8671853502691,15.1440755883041,11.6946177926055,13.8800249089851
"101",101,2466,19.670452579419,6.10468744425328,10.3433297196638,17.7412424563553,16.1804784205912,7.27309735905318,15.4329936179365
"102",102,2482,13.0725487652851,13.5333064528038,16.7750571108459,16.6838737749748,8.97582687567089,16.3090790681263,9.32716015869989
"103",103,2496,8.35979806525262,19.0597688196919,17.6046984305199,17.1167867479102,18.6459370574769,12.1842763335726,15.1636546892669
"104",104,2509,20.4975299995951,17.3594584701748,13.8509183166325,13.4356156356263,18.9899158897898,12.9228045537676,13.2991498881897
"105",105,2521,15.2690122282037,20.4886555740753,9.69765948623814,5.20910623721419,9.92787622922126,14.2167258189719,11.2188697250012
"106",106,2533,21.6657460839853,13.1439948385485,8.94751811227941,10.0166643086585,17.0716052702601,6.70157273212087,15.9815590932821
"107",107,2548,15.5259647559071,23.9834504816308,14.4732458333763,19.5548972832473,14.5413644081357,10.1858687119735,7.53415365992522
"108",108,2565,5.35170003600405,8.87892464636882,12.9842857864983,11.329223819152,12.0691228839348,11.0452156117046,13.3679898125761
"109",109,2583,15.4360709328254,9.50672114076863,14.5118937563104,17.6936365454712,9.55091002445435,10.5504850604081,21.1031453876649
"110",110,2602,24.1212977869944,9.68048792141517,22.1621164145745,16.6324416494006,15.7245185729965,18.0081528729139,12.4607642901138
"111",111,2620,15.3271280404471,15.1988133923855,13.9711110673903,13.833891317384,13.8069940744437,12.3156105176483,22.5509872375081
"112",112,2639,19.6019190488281,16.9874026774011,8.61248354070495,13.135407225565,11.0434043581804,10.9355095509519,9.84724155628699
"113",113,2655.5,11.2045044706413,21.4144288005038,19.2034331353836,18.3477956909125,12.4959227704168,26.7667732950725,13.8866774156039
"114",114,2672,20.7387463968811,19.9700542592558,32.5272412103724,17.2624303144021,11.6497231962267,28.1926007276276,27.9816844715481
"115",115,2688,6.19210239785246,11.9240141969376,15.9259199027015,19.9713174865849,6.70053325341804,18.1744391890085,16.8494833137426
"116",116,2705,19.4792636343669,18.8358433248765,6.50033340012167,8.20836096258095,20.9202280241811,15.6051502514658,12.5050535229453
"117",117,2722,17.706509058797,20.0895210405514,15.8703484337602,17.7217887608773,21.4675901686985,13.2717486056177,24.2711933501382
"118",118,2756,22.845107464475,12.1655534493288,15.2015153033124,8.33434632725537,16.48972766337,20.5692772163268,18.2247738814195
"119",119,2815,4.10453577039553,16.1923374252432,13.8947954162304,21.562853726233,16.9096046537873,7.07636913220505,13.1690648131529
"120",120,2860,22.0161250144754,20.1266410495939,15.1757659303982,10.046810678322,16.6218804465234,10.2742211297674,9.67150361111953
"121",121,2900,10.4230524629378,15.5769494313025,10.4772783238947,16.4281033302371,10.6934657059959,20.6257530325161,18.5344857243268
"122",122,2941,17.9343009779322,15.0473809783638,23.2231986766428,10.4876039772087,15.0667597842184,9.05729953569282,25.8677908100914
"123",123,2970.5,11.7274634079773,17.0245527699947,22.5728321355805,23.7964929140205,10.2835807783231,22.8693855750802,19.342507117918
"124",124,2991,16.9216641153204,14.8075983074561,16.4450863210896,15.5792358401812,10.2030665378702,12.3277662826388,12.0243036492529
"125",125,3010.5,9.21218482590506,8.26293309404191,12.7138367954684,16.6213424380901,24.0114058094579,19.4310714036434,11.3569758657939
